url_no,url,status,model,p_phishing,prediction,rank,feature,feature_value,shap_signed,abs_shap,direction
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,8,web_traffic,0.0,0.378256,0.378256,PHISHING
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,9,longest_words_raw,5.0,-0.320064,0.320064,BENIGN
3,https://www.ietf.org/,benign,XGBoost (GA),0.0264,BENIGN,10,nb_hyphens,0.0,0.309657,0.309657,PHISHING
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,1,page_rank,4.78,-0.119639,0.119639,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,2,nb_www,1.0,-0.103839,0.103839,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,3,nb_hyperlinks,160.0,-0.066877,0.066877,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,4,phish_hints,0.0,-0.032947,0.032947,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,5,length_hostname,12.0,-0.023854,0.023854,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,6,nb_at,0.0,-0.022151,0.022151,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,7,nb_dots,2.0,-0.019545,0.019545,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,8,shortest_word_path,0.0,-0.018914,0.018914,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,9,whois_registered_domain,0.0,-0.018524,0.018524,BENIGN
3,https://www.ietf.org/,benign,"Stacking (RF+XGB+LR, GA)",0.072,BENIGN,10,ip,0.0,-0.015079,0.015079,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,1,page_rank,0.0,0.120157,0.120157,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,2,google_index,0.0,-0.059068,0.059068,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,3,nb_hyperlinks,0.0,0.042533,0.042533,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,4,web_traffic,0.0,0.039744,0.039744,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,5,nb_www,0.0,0.028753,0.028753,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,6,domain_in_title,0.0,-0.028731,0.028731,BENIGN
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,7,ratio_digits_url,0.2580645161290322,0.026904,0.026904,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,8,domain_age,0.0,0.022952,0.022952,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,9,safe_anchor,0.0,0.016706,0.016706,PHISHING
4,http://nmhokdypni.sum4iit.club/vnafvra97w/?q=3717065149&id=100,phishing,Random Forest (GA),0.7979,PHISHING,10,ratio_digits_host,0.0434782608695652,0.015261,0.015261,PHISHING
